Mach,RAMJET_LOW_s,RAMJET_REFERENCE_s,RAMJET_HIGH_s,LOW_definition,REFERENCE_definition,HIGH_definition,ReleaseStatus
2.3,1584.0,1701.0,1818.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
2.4,1592.0,1703.0,1814.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
2.5,1600.0,1705.0,1810.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
2.6,1596.0,1697.0,1798.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
2.7,1592.0,1689.0,1786.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
2.8,1584.0,1678.0,1772.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
2.9,1572.0,1664.0,1756.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.0,1560.0,1650.0,1740.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.1,1540.0,1624.0,1708.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.2,1520.0,1598.0,1676.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
