Scenario,TransitionEndMach,Mach,BlendedI_s,ScramBlendWeight,MappedDCR_s,MappedScram_s,Basis,ReleaseStatus
LOW,6.5,6.0,976.4488636363636,0.0,976.4488636363636,365.9856598289843,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.05,940.6509798763981,0.02799999999999981,957.1705014191791,367.18758917699523,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.1,878.6638666515881,0.10399999999999932,937.8921392019946,368.38951852500617,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.15,800.024953896662,0.21600000000000089,918.6137769848098,369.5914478730171,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.2,713.2886175512228,0.3520000000000005,899.3354147676254,370.79337722102804,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.25,626.02617955974,0.5,880.0570525504409,371.995306569039,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.3,544.8259078715548,0.6479999999999996,860.7786903332563,373.1972359170499,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.35,475.2930164408797,0.783999999999999,841.5003281160718,374.39916526506084,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.4,422.0496652267963,0.8960000000000007,822.221965898887,375.60109461307184,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.45,388.73496019326006,0.9720000000000002,802.9436036817025,376.8030239610828,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.5,378.0049533090937,1.0,783.665241464518,378.0049533090937,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.55,379.2068826571046,1.0,764.3868792473336,379.2068826571046,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.6,380.4088120051155,1.0,745.1085170301491,380.4088120051155,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.65,381.6107413531265,1.0,725.8301548129642,381.6107413531265,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.7,382.81267070113745,1.0,706.5517925957797,382.81267070113745,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.75,384.0146000491484,1.0,687.2734303785952,384.0146000491484,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.8,385.2165293971593,1.0,667.9950681614107,385.2165293971593,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.85,386.41845874517026,1.0,648.7167059442263,386.41845874517026,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.9,387.6203880931812,1.0,629.4383437270415,387.6203880931812,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,6.95,388.8223174411921,1.0,610.159981509857,388.8223174411921,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,6.5,7.0,390.02424678920306,1.0,590.8816192926724,390.02424678920306,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,7.0,6.0,976.4488636363636,0.0,976.4488636363636,365.9856598289843,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,7.0,6.05,952.8931253054233,0.007249999999999949,957.1705014191791,367.18758917699523,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,7.0,6.1,921.946065823039,0.02799999999999981,937.8921392019946,368.38951852500617,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
LOW,7.0,6.15,885.2606704912681,0.06075000000000027,918.6137769848098,369.5914478730171,DCR-to-scram smoothstep blend; WU same-source relative mode structure preserved,TRANSITION_SENSITIVITY_ONLY
